INPUT:audio	INPUT:image	OUTPUT:recording	OUTPUT:result_3d_question	OUTPUT:result_1st_question	OUTPUT:result_2nd_question	OUTPUT:result_4th_question	GOLDEN:result_3d_question	GOLDEN:result_1st_question	GOLDEN:result_2nd_question	GOLDEN:result_4th_question	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4	https://storage.yandexcloud.net/toloka-chebotarev/9.png	eu.1aaed99e-10dd-40b5-a2c6-877f99ade2c6	Yes	No	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd260f81b996bc6149566	00028f9928--662bd00df6eb632909e7798d	00028f9928--662bd260f81b996bc6149566	037e0d0d1c7e747433779e991122cf23	APPROVED	2024-04-26T16:12:16.528	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.ca9db031-a617-4d2a-a9aa-bf84d7f2f773	Yes	Yes	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd26e567f51718c876a72	00028f9928--662bd00df6eb632909e77959	00028f9928--662bd26e567f51718c876a72	593b0ad0fbf249bb33c1dbe0ad15a417	APPROVED	2024-04-26T16:12:30.141	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.7845a073-2b6f-479b-a141-45f1a541ab1a	No	No	Yes	Yes							https://platform.toloka.ai/task/42965288/00028f9928--662bd27c567f51718c876b79	00028f9928--662bd00df6eb632909e7793d	00028f9928--662bd27c567f51718c876b79	522036c6279f94dd0eb31e8e1ebb9da2	APPROVED	2024-04-26T16:12:44.986	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.b35ba995-2e75-42e6-9477-aa7329ff76d0	No	Yes	Yes	Yes							https://platform.toloka.ai/task/42965288/00028f9928--662bd2ac375e107843bf083b	00028f9928--662bd00df6eb632909e7793d	00028f9928--662bd2ac375e107843bf083b	e33133e75447e995f6465d31f1826494	APPROVED	2024-04-26T16:13:32.319	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4	https://storage.yandexcloud.net/toloka-chebotarev/9.png	eu.54a3394f-e4a2-4b6a-8a7b-afa65704099d	Yes	Yes	No	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd2b4f81b996bc6149b27	00028f9928--662bd00df6eb632909e7798d	00028f9928--662bd2b4f81b996bc6149b27	68fa5708c7d6b9faf58bcb855b93eb15	APPROVED	2024-04-26T16:13:40.778	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.e84358df-f221-4aa3-adac-124a6810262b	No	No	Yes	Yes							https://platform.toloka.ai/task/42965288/00028f9928--662bd2c3cb201c62ab61dc05	00028f9928--662bd00df6eb632909e7793d	00028f9928--662bd2c3cb201c62ab61dc05	6cb993182334b24031e6b02f65cb9410	APPROVED	2024-04-26T16:13:55.148	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.9a36afc1-246a-411c-a44d-f538fe8d95bd	Yes	No	No	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd2ea375e107843bf0c04	00028f9928--662bd00df6eb632909e7795f	00028f9928--662bd2ea375e107843bf0c04	a8dad8c0b5c49220177cf0cdc5ba0bb0	APPROVED	2024-04-26T16:14:34.254	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.c382a6ed-b349-4f94-9556-94c2eee72332	None of the above	Yes	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd2eff6eb632909e7cbfc	00028f9928--662bd00df6eb632909e77959	00028f9928--662bd2eff6eb632909e7cbfc	567e61b6a10cd073e5b7c1f31732068b	APPROVED	2024-04-26T16:14:39.466	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4	https://storage.yandexcloud.net/toloka-chebotarev/9.png	eu.b96bac78-db94-44a4-9914-57364b6910c6	Yes	Yes	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd2f1375e107843bf0c5e	00028f9928--662bd00df6eb632909e7798d	00028f9928--662bd2f1375e107843bf0c5e	53cb21bf5bafa2773b35f04df9ee8752	APPROVED	2024-04-26T16:14:41.143	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.0c7a7f49-fcfd-41df-9561-8d70acb4b46c	No	Yes	Yes	Yes							https://platform.toloka.ai/task/42965288/00028f9928--662bd2f1567f51718c8771ef	00028f9928--662bd00df6eb632909e77959	00028f9928--662bd2f1567f51718c8771ef	f7b47818093e5746777aa275f6f42da2	APPROVED	2024-04-26T16:14:41.480	+	
